seed,domain,method,budget_fraction,regret,oracle_delta_q,realized_delta_q,budget_regret
46,tum_fr1_desk_val,oracle,0.2,0.0,0.3520963788032532,0.3520963788032532,-0.020331263542175293
46,tum_fr1_desk_val,oracle,0.4,0.0,0.5220712423324585,0.5220712423324585,-0.006747424602508545
46,tum_fr1_desk_val,oracle,0.6,0.0,0.6048338413238525,0.6048338413238525,-0.002457737922668457
46,tum_fr1_desk_val,oracle,0.8,0.0,0.6498000621795654,0.6498000621795654,5.960464477539063e-08
46,tum_fr2_xyz,random,0.1,0.036843929439783096,0.06548858433961868,0.028644654899835587,0.044136933982372284
46,tum_fr2_xyz,random,0.2,0.042509183287620544,0.0953749567270279,0.05286577343940735,0.04969276487827301
46,tum_fr2_xyz,random,0.4,0.0814308449625969,0.18363074958324432,0.10219990462064743,0.0880083292722702
46,tum_fr2_xyz,random,0.6,0.09538863599300385,0.23603671789169312,0.14064808189868927,0.09362655878067017
46,tum_fr2_xyz,random,0.8,0.08509041368961334,0.2549758553504944,0.16988544166088104,0.08502930402755737
46,tum_fr2_xyz,error_only,0.1,-0.006044395267963409,0.06548858433961868,0.07153297960758209,-0.044341690838336945
46,tum_fr2_xyz,error_only,0.2,-0.02239742875099182,0.0953749567270279,0.11777238547801971,-0.03916911780834198
46,tum_fr2_xyz,error_only,0.4,0.020176172256469727,0.18363074958324432,0.1634545773267746,0.019213244318962097
46,tum_fr2_xyz,error_only,0.6,0.02416388690471649,0.23603671789169312,0.21187283098697662,0.014258533716201782
46,tum_fr2_xyz,error_only,0.8,0.03292602300643921,0.2549758553504944,0.22204983234405518,0.03292602300643921
46,tum_fr2_xyz,heuristic,0.1,0.03266134858131409,0.06548858433961868,0.032827235758304596,-0.006148703396320343
46,tum_fr2_xyz,heuristic,0.2,0.011564880609512329,0.0953749567270279,0.08381007611751556,-0.031865835189819336
46,tum_fr2_xyz,heuristic,0.4,0.00164012610912323,0.18363074958324432,0.1819906234741211,-0.014648020267486572
46,tum_fr2_xyz,heuristic,0.6,0.03139537572860718,0.23603671789169312,0.20464134216308594,0.03355368971824646
46,tum_fr2_xyz,heuristic,0.8,0.029254719614982605,0.2549758553504944,0.22572113573551178,0.022418871521949768
46,tum_fr2_xyz,learned,0.1,0.03313271328806877,0.06548858433961868,0.03235587105154991,0.03203003853559494
46,tum_fr2_xyz,learned,0.2,0.013656973838806152,0.0953749567270279,0.08171798288822174,0.00701276957988739
46,tum_fr2_xyz,learned,0.4,0.050039902329444885,0.18363074958324432,0.13359084725379944,0.05073079466819763
46,tum_fr2_xyz,learned,0.6,0.05630016326904297,0.23603671789169312,0.17973655462265015,0.054279714822769165
46,tum_fr2_xyz,learned,0.8,0.055513277649879456,0.2549758553504944,0.19946257770061493,0.028190895915031433
